run_id,machine_id,product_code,start_time,end_time,duration_hours,units_produced,units_defective,defect_rate,cycle_time_seconds,operator_id,efficiency_pct,scrap_cost
PR00063,M002,PART-0047,2024-09-18 20:00:00,2024-09-19 01:28:26,5.47,948,14,1.58,20.6,OP016,78.5,108.87
PR00064,M008,PART-0050,2024-12-25 03:00:00,2024-12-25 08:27:24,5.46,745,26,3.5,24.8,OP019,75.9,217.85
PR00065,M004,PART-0046,2024-06-18 21:00:00,2024-06-18 23:53:13,2.89,138,2,2.1,72.0,OP002,78.0,23.2
PR00066,M003,PART-0017,2024-03-13 14:00:00,2024-03-13 22:16:44,8.28,923,42,4.64,34.3,OP004,93.5,838.54
PR00067,M005,PART-0023,2024-06-28 14:00:00,2024-06-28 21:21:57,7.37,731,23,3.28,34.3,OP014,85.6,458.84
PR00068,M006,PART-0045,2024-07-05 18:00:00,2024-07-06 03:08:00,9.13,1539,59,3.87,22.5,OP018,85.3,923.49
PR00069,M007,PART-0026,2024-07-10 22:00:00,2024-07-11 03:46:22,5.77,455,6,1.45,40.9,OP012,80.4,71.15
PR00070,M001,PART-0022,2024-03-08 09:00:00,2024-03-08 18:53:30,9.89,1475,46,3.13,22.8,OP002,87.8,769.61
PR00071,M004,PART-0045,2024-03-23 09:00:00,2024-03-23 13:50:15,4.84,284,9,3.23,65.5,OP006,88.9,87.7
PR00072,M006,PART-0030,2024-10-03 05:00:00,2024-10-03 10:39:12,5.65,772,10,1.34,22.4,OP009,76.8,154.9
PR00073,M008,PART-0004,2024-08-16 03:00:00,2024-08-16 14:58:21,11.97,605,29,4.86,65.5,OP015,93.8,294.58
PR00074,M008,PART-0005,2024-03-02 01:00:00,2024-03-02 08:34:03,7.57,1320,56,4.27,19.5,OP006,97.3,1076.27
PR00075,M004,PART-0038,2024-08-12 19:00:00,2024-08-12 23:25:26,4.42,429,16,3.96,37.5,OP005,86.6,378.24
PR00076,M005,PART-0002,2024-09-15 00:00:00,2024-09-15 05:41:32,5.69,323,9,2.97,61.0,OP013,90.7,60.82
PR00077,M007,PART-0030,2024-04-10 08:00:00,2024-04-10 17:36:08,9.6,1735,40,2.35,18.8,OP017,94.6,796.78
PR00078,M002,PART-0001,2024-11-29 20:00:00,2024-11-30 05:18:31,9.31,1491,32,2.21,19.4,OP008,91.6,190.78
PR00079,M005,PART-0037,2024-11-23 10:00:00,2024-11-23 19:57:09,9.95,652,27,4.21,57.1,OP005,80.4,477.23
PR00080,M006,PART-0014,2024-05-11 12:00:00,2024-05-11 19:52:59,7.88,1606,39,2.48,18.5,OP019,89.4,616.03
PR00081,M007,PART-0006,2024-05-22 00:00:00,2024-05-22 04:19:19,4.32,472,15,3.31,35.3,OP006,82.7,294.16
PR00082,M002,PART-0027,2024-01-15 14:00:00,2024-01-15 22:12:02,8.2,731,26,3.68,41.4,OP001,75.8,426.34
PR00083,M002,PART-0045,2024-01-05 09:00:00,2024-01-05 14:25:14,5.42,453,9,2.2,41.4,OP020,84.1,188.51
PR00084,M005,PART-0036,2024-06-05 14:00:00,2024-06-05 20:05:22,6.09,876,27,3.19,20.1,OP004,91.5,458.48
PR00085,M004,PART-0046,2024-01-11 09:00:00,2024-01-11 14:25:30,5.43,913,23,2.58,19.7,OP011,78.5,384.67
PR00086,M006,PART-0048,2024-07-28 00:00:00,2024-07-28 02:10:51,2.18,232,2,0.96,33.0,OP004,93.2,10.92
PR00087,M007,PART-0014,2024-04-15 16:00:00,2024-04-15 23:45:46,7.76,1089,9,0.85,21.1,OP008,94.3,208.92
PR00088,M001,PART-0001,2024-10-28 04:00:00,2024-10-28 15:50:54,11.85,1612,68,4.27,22.6,OP019,88.6,882.64
PR00089,M001,PART-0025,2024-11-04 08:00:00,2024-11-04 12:03:20,4.06,344,6,2.0,34.0,OP011,96.2,85.88
PR00090,M003,PART-0025,2024-12-12 16:00:00,2024-12-12 23:52:14,7.87,1326,21,1.62,22.9,OP007,78.8,119.23
PR00091,M001,PART-0020,2024-06-25 10:00:00,2024-06-25 18:19:21,8.32,1355,17,1.3,22.1,OP009,78.4,225.97
PR00092,M004,PART-0019,2024-03-03 07:00:00,2024-03-03 14:01:19,7.02,313,7,2.29,72.0,OP017,75.8,101.09
PR00093,M008,PART-0028,2024-01-19 17:00:00,2024-01-19 21:56:25,4.94,758,21,2.86,22.0,OP017,84.2,340.05
PR00094,M007,PART-0010,2024-05-11 00:00:00,2024-05-11 05:20:37,5.34,602,13,2.18,34.6,OP019,89.8,171.27
PR00095,M007,PART-0024,2024-02-24 17:00:00,2024-02-25 03:40:11,10.67,491,7,1.5,63.2,OP008,77.4,146.99
PR00096,M003,PART-0014,2024-02-20 00:00:00,2024-02-20 07:34:01,7.57,357,5,1.59,63.2,OP014,94.1,64.72
PR00097,M005,PART-0007,2024-06-30 20:00:00,2024-07-01 02:03:50,6.06,674,3,0.56,34.6,OP001,79.8,16.59
PR00098,M005,PART-0002,2024-02-05 17:00:00,2024-02-06 03:55:36,10.93,1035,20,2.01,37.5,OP003,88.6,207.23
PR00099,M005,PART-0022,2024-10-19 05:00:00,2024-10-19 14:44:18,9.74,1686,30,1.83,19.4,OP012,78.2,671.08
PR00100,M008,PART-0040,2024-02-28 13:00:00,2024-02-28 19:42:38,6.71,882,15,1.71,22.1,OP002,89.6,152.37
PR00101,M006,PART-0011,2024-10-04 10:00:00,2024-10-04 16:13:01,6.22,412,7,1.73,46.2,OP006,96.0,51.49
PR00102,M004,PART-0022,2024-02-10 05:00:00,2024-02-10 07:40:18,2.67,464,4,0.98,21.1,OP006,91.8,40.06
PR00103,M005,PART-0046,2024-11-04 06:00:00,2024-11-04 13:43:58,7.73,1388,30,2.22,18.6,OP002,78.8,592.82
PR00104,M003,PART-0036,2024-06-29 03:00:00,2024-06-29 12:42:35,9.71,694,12,1.8,46.2,OP017,91.6,206.5
PR00105,M006,PART-0036,2024-04-07 22:00:00,2024-04-08 06:38:12,8.64,1752,25,1.47,18.1,OP015,81.0,422.54
PR00106,M003,PART-0025,2024-12-02 12:00:00,2024-12-02 15:32:48,3.55,355,13,3.78,29.5,OP011,88.8,184.52
PR00107,M003,PART-0044,2024-05-10 17:00:00,2024-05-11 02:59:38,9.99,1474,31,2.12,23.8,OP017,78.1,744.15
PR00108,M007,PART-0023,2024-10-29 11:00:00,2024-10-29 18:25:08,7.42,998,41,4.13,27.3,OP005,90.9,901.34
PR00109,M001,PART-0016,2024-03-29 11:00:00,2024-03-29 15:12:43,4.21,666,4,0.7,22.8,OP007,98.0,64.46
PR00110,M006,PART-0008,2024-09-06 06:00:00,2024-09-06 08:20:22,2.34,395,5,1.37,21.7,OP018,84.7,104.53
PR00111,M007,PART-0037,2024-04-12 16:00:00,2024-04-13 00:30:06,8.5,1116,9,0.85,22.9,OP011,82.8,175.46
PR00112,M004,PART-0018,2024-02-08 14:00:00,2024-02-09 00:02:23,10.04,551,10,1.93,67.9,OP001,95.4,173.17
PR00113,M006,PART-0035,2024-11-06 02:00:00,2024-11-06 12:42:03,10.7,636,30,4.73,58.1,OP007,75.2,181.61
PR00114,M001,PART-0010,2024-11-13 20:00:00,2024-11-14 02:47:52,6.8,469,23,4.93,55.4,OP007,87.0,451.85
PR00115,M001,PART-0048,2024-01-03 12:00:00,2024-01-03 17:32:46,5.55,658,20,3.15,30.8,OP001,95.9,118.04
PR00116,M007,PART-0006,2024-10-31 03:00:00,2024-10-31 07:10:57,4.18,372,3,0.9,41.9,OP007,95.2,71.68
PR00117,M003,PART-0029,2024-03-02 12:00:00,2024-03-02 23:53:30,11.89,984,22,2.31,35.6,OP019,86.8,211.49
PR00118,M002,PART-0047,2024-11-08 08:00:00,2024-11-08 11:51:51,3.86,210,8,4.1,69.2,OP017,86.9,135.56
PR00119,M001,PART-0032,2024-03-01 09:00:00,2024-03-01 16:09:08,7.15,945,11,1.19,27.5,OP003,80.2,104.24
PR00120,M007,PART-0003,2024-03-29 08:00:00,2024-03-29 18:56:57,10.95,1358,60,4.45,24.0,OP009,76.0,1322.63
PR00121,M002,PART-0015,2024-01-09 14:00:00,2024-01-09 22:33:08,8.55,471,8,1.77,66.7,OP006,81.0,155.75
PR00122,M002,PART-0029,2024-02-06 15:00:00,2024-02-06 23:49:57,8.83,939,42,4.47,27.7,OP019,94.0,502.16
PR00123,M002,PART-0028,2024-02-09 12:00:00,2024-02-09 16:40:13,4.67,245,10,4.41,65.5,OP001,78.6,82.08
PR00124,M005,PART-0007,2024-12-28 12:00:00,2024-12-28 20:58:28,8.97,1317,51,3.89,24.2,OP005,95.3,1144.28
PR00125,M003,PART-0018,2024-01-31 22:00:00,2024-02-01 00:03:05,2.05,277,12,4.59,23.1,OP004,87.8,241.59
PR00126,M004,PART-0040,2024-10-21 01:00:00,2024-10-21 05:52:13,4.87,415,12,3.02,37.9,OP002,89.6,189.6
PR00127,M003,PART-0028,2024-11-21 18:00:00,2024-11-22 03:36:37,9.61,1098,47,4.28,29.3,OP015,96.4,331.36
PR00128,M004,PART-0001,2024-12-17 03:00:00,2024-12-17 05:40:42,2.68,182,6,3.69,54.5,OP018,95.0,146.82
PR00129,M005,PART-0033,2024-07-22 03:00:00,2024-07-22 11:28:32,8.48,1349,10,0.8,20.7,OP006,83.6,213.76
PR00130,M003,PART-0041,2024-02-27 22:00:00,2024-02-28 04:27:32,6.46,545,5,0.96,46.2,OP007,87.1,107.59
PR00131,M003,PART-0017,2024-10-14 01:00:00,2024-10-14 10:43:41,9.73,1289,22,1.73,27.1,OP012,75.7,431.76
PR00132,M007,PART-0038,2024-12-22 19:00:00,2024-12-23 00:58:33,5.98,961,18,1.94,20.0,OP015,92.2,162.13
PR00133,M001,PART-0017,2024-10-07 11:00:00,2024-10-07 18:37:39,7.63,632,8,1.33,47.4,OP008,92.7,175.17
PR00134,M004,PART-0046,2024-07-17 02:00:00,2024-07-17 11:58:04,9.97,783,25,3.27,49.3,OP015,86.1,183.65
PR00135,M001,PART-0002,2024-08-23 19:00:00,2024-08-24 01:18:11,6.3,702,13,1.97,32.1,OP008,82.1,183.36
PR00136,M008,PART-0032,2024-10-03 17:00:00,2024-10-04 01:48:16,8.8,1088,34,3.2,27.5,OP011,91.0,754.88
PR00137,M006,PART-0032,2024-09-23 21:00:00,2024-09-24 06:29:29,9.49,745,36,4.94,40.0,OP015,86.5,625.07
PR00138,M004,PART-0013,2024-06-09 09:00:00,2024-06-09 18:45:28,9.76,1361,12,0.9,24.7,OP001,94.0,145.87
PR00139,M007,PART-0044,2024-07-12 05:00:00,2024-07-12 12:40:31,7.68,1365,19,1.4,21.1,OP017,96.9,142.2
PR00140,M003,PART-0050,2024-01-09 05:00:00,2024-01-09 13:09:57,8.17,744,32,4.42,40.0,OP020,82.8,681.49
PR00141,M007,PART-0041,2024-03-24 15:00:00,2024-03-24 22:28:33,7.48,828,22,2.66,33.6,OP010,85.1,428.92
PR00142,M004,PART-0046,2024-03-27 11:00:00,2024-03-27 14:35:43,3.6,332,6,1.98,38.3,OP004,92.1,134.62
PR00143,M005,PART-0041,2024-07-01 18:00:00,2024-07-01 21:37:00,3.62,702,14,2.0,18.5,OP003,76.9,182.91
PR00144,M005,PART-0021,2024-04-02 21:00:00,2024-04-02 23:18:23,2.31,354,4,1.28,24.7,OP020,89.5,78.83
PR00145,M006,PART-0034,2024-01-20 17:00:00,2024-01-21 03:40:13,10.67,1510,9,0.63,24.8,OP004,95.1,207.13
PR00146,M006,PART-0040,2024-10-21 09:00:00,2024-10-21 20:55:16,11.92,1790,59,3.3,20.7,OP015,80.4,1210.68
PR00147,M004,PART-0005,2024-08-27 22:00:00,2024-08-28 06:19:31,8.33,572,7,1.31,57.1,OP006,86.3,69.61
PR00148,M004,PART-0025,2024-04-20 13:00:00,2024-04-20 20:08:53,7.15,929,11,1.24,27.1,OP002,94.7,56.99
PR00149,M001,PART-0014,2024-06-12 12:00:00,2024-06-12 16:22:13,4.37,304,2,0.83,45.0,OP016,87.0,23.48
PR00150,M006,PART-0020,2024-12-26 00:00:00,2024-12-26 06:29:39,6.49,364,13,3.68,63.2,OP011,91.9,237.59
PR00151,M005,PART-0044,2024-10-31 16:00:00,2024-11-01 01:03:13,9.05,927,40,4.41,34.3,OP020,81.2,245.67
PR00152,M007,PART-0005,2024-10-19 19:00:00,2024-10-19 21:31:01,2.52,105,2,2.53,72.0,OP001,86.7,11.66
PR00153,M002,PART-0029,2024-10-02 20:00:00,2024-10-03 02:47:56,6.8,503,9,1.95,39.1,OP007,85.5,137.81
PR00154,M002,PART-0042,2024-10-20 19:00:00,2024-10-20 22:15:26,3.26,508,18,3.67,20.6,OP008,97.3,123.8
PR00155,M008,PART-0026,2024-06-05 05:00:00,2024-06-05 15:40:53,10.68,1264,43,3.48,26.7,OP011,90.7,642.57
PR00156,M001,PART-0046,2024-01-26 07:00:00,2024-01-26 17:38:45,10.65,1395,65,4.69,22.2,OP004,90.6,605.38
PR00157,M008,PART-0050,2024-05-21 20:00:00,2024-05-22 04:40:10,8.67,1110,38,3.46,23.4,OP006,82.3,848.49
PR00158,M001,PART-0034,2024-06-24 12:00:00,2024-06-24 21:49:25,9.82,1097,10,0.99,28.6,OP006,82.5,183.52
PR00159,M006,PART-0007,2024-03-22 12:00:00,2024-03-22 21:58:41,9.98,1397,30,2.19,27.3,OP015,89.5,515.9
PR00160,M007,PART-0035,2024-11-11 00:00:00,2024-11-11 04:22:31,4.38,319,2,0.83,42.9,OP008,90.4,34.78
PR00161,M006,PART-0029,2024-09-21 02:00:00,2024-09-21 09:25:25,7.42,858,22,2.66,29.8,OP012,78.4,341.71
PR00162,M007,PART-0043,2024-10-26 03:00:00,2024-10-26 11:04:44,8.08,1146,42,3.73,26.5,OP013,93.9,571.92
PR00163,M008,PART-0004,2024-10-29 20:00:00,2024-10-30 06:58:49,10.98,809,17,2.21,48.6,OP013,83.1,119.48
PR00164,M005,PART-0030,2024-02-21 13:00:00,2024-02-21 18:04:22,5.07,415,3,0.9,42.9,OP018,84.2,73.6
PR00165,M002,PART-0007,2024-12-10 10:00:00,2024-12-10 13:13:56,3.23,433,12,2.86,22.9,OP017,88.0,121.58
PR00166,M004,PART-0042,2024-03-24 03:00:00,2024-03-24 05:52:13,2.87,285,1,0.7,35.0,OP015,96.9,17.03
PR00167,M006,PART-0042,2024-10-03 21:00:00,2024-10-04 04:56:07,7.94,513,16,3.25,48.0,OP008,92.7,258.12
PR00168,M003,PART-0025,2024-10-19 03:00:00,2024-10-19 07:44:53,4.75,340,11,3.52,52.9,OP018,92.6,87.93
PR00169,M007,PART-0017,2024-08-29 04:00:00,2024-08-29 07:40:48,3.68,611,9,1.48,22.9,OP016,82.2,86.44
PR00170,M007,PART-0025,2024-06-08 10:00:00,2024-06-08 14:19:10,4.32,542,4,0.76,28.3,OP002,81.3,67.76
PR00171,M002,PART-0026,2024-11-18 09:00:00,2024-11-18 15:16:55,6.28,384,3,0.97,49.3,OP006,88.3,31.45
PR00172,M006,PART-0006,2024-02-05 07:00:00,2024-02-05 15:27:10,8.45,1400,30,2.15,20.0,OP009,89.2,415.45
PR00173,M004,PART-0003,2024-05-09 04:00:00,2024-05-09 06:41:57,2.7,471,14,3.17,18.2,OP012,82.5,163.24
PR00174,M006,PART-0030,2024-05-09 22:00:00,2024-05-10 03:47:05,5.78,844,31,3.79,23.8,OP020,76.4,503.62
PR00175,M004,PART-0016,2024-11-28 14:00:00,2024-11-28 18:00:33,4.01,515,13,2.53,23.2,OP012,83.0,237.88
PR00176,M004,PART-0005,2024-01-03 15:00:00,2024-01-03 20:49:30,5.83,385,4,1.19,50.0,OP020,96.3,63.2
PR00177,M001,PART-0033,2024-10-12 20:00:00,2024-10-12 22:55:45,2.93,481,18,3.9,18.1,OP016,86.7,147.35
PR00178,M005,PART-0002,2024-05-21 03:00:00,2024-05-21 08:01:52,5.03,740,16,2.21,22.1,OP009,86.7,344.09
PR00179,M006,PART-0022,2024-06-02 03:00:00,2024-06-02 13:44:00,10.73,635,17,2.74,65.5,OP005,84.0,255.39
PR00180,M001,PART-0014,2024-02-11 05:00:00,2024-02-11 15:10:28,10.17,856,24,2.9,42.9,OP006,78.2,221.75
PR00181,M006,PART-0014,2024-03-13 14:00:00,2024-03-13 20:01:47,6.03,586,8,1.51,31.3,OP020,88.2,189.24
PR00182,M002,PART-0046,2024-10-07 21:00:00,2024-10-08 02:08:14,5.14,699,22,3.23,25.0,OP020,86.6,285.41
PR00183,M001,PART-0004,2024-05-20 20:00:00,2024-05-20 23:13:03,3.22,514,5,1.11,18.2,OP013,87.6,121.58
PR00184,M008,PART-0006,2024-04-01 12:00:00,2024-04-01 23:21:52,11.36,730,7,0.98,52.2,OP011,89.3,126.03
PR00185,M003,PART-0050,2024-10-13 18:00:00,2024-10-14 01:38:39,7.64,389,10,2.68,61.0,OP015,97.6,97.84
PR00186,M003,PART-0033,2024-05-28 08:00:00,2024-05-28 17:49:37,9.83,1375,49,3.61,22.0,OP004,89.6,469.32
PR00187,M005,PART-0037,2024-12-24 19:00:00,2024-12-24 22:44:15,3.74,681,25,3.76,20.8,OP020,84.3,452.04
PR00188,M003,PART-0027,2024-01-07 21:00:00,2024-01-08 07:16:31,10.28,1510,24,1.62,26.7,OP006,81.0,484.94
PR00189,M002,PART-0017,2024-03-05 12:00:00,2024-03-05 14:07:16,2.12,227,1,0.69,27.5,OP003,81.1,17.92
PR00190,M005,PART-0040,2024-11-03 22:00:00,2024-11-04 01:29:32,3.49,260,9,3.82,43.4,OP003,83.6,116.01
PR00191,M006,PART-0009,2024-02-11 20:00:00,2024-02-12 07:33:43,11.56,2035,82,4.04,22.2,OP009,90.8,1127.67
PR00192,M005,PART-0008,2024-04-06 09:00:00,2024-04-06 20:18:11,11.3,828,22,2.73,51.4,OP008,80.2,501.33
PR00193,M007,PART-0023,2024-12-09 12:00:00,2024-12-09 15:30:06,3.5,478,3,0.69,26.5,OP011,90.2,63.13
PR00194,M003,PART-0036,2024-05-31 16:00:00,2024-06-01 03:33:54,11.57,741,19,2.58,51.4,OP011,97.3,453.08
PR00195,M003,PART-0008,2024-01-28 18:00:00,2024-01-28 21:44:27,3.74,194,8,4.24,66.7,OP010,75.5,53.15
PR00196,M004,PART-0049,2024-12-02 07:00:00,2024-12-02 16:41:32,9.69,1081,15,1.43,29.5,OP004,89.1,307.39
PR00197,M001,PART-0027,2024-08-04 22:00:00,2024-08-05 00:25:10,2.42,353,3,1.06,22.1,OP008,77.6,44.16
PR00198,M008,PART-0017,2024-12-16 15:00:00,2024-12-17 01:07:03,10.12,1482,10,0.7,20.8,OP008,88.8,69.0
PR00199,M008,PART-0021,2024-11-10 13:00:00,2024-11-10 19:23:38,6.39,1128,17,1.58,22.1,OP012,79.5,386.55
PR00200,M008,PART-0013,2024-05-01 22:00:00,2024-05-02 08:47:33,10.79,708,11,1.64,59.0,OP008,92.2,177.72
PR00201,M007,PART-0029,2024-08-23 10:00:00,2024-08-23 15:12:02,5.2,1133,53,4.72,18.1,OP013,78.8,404.63
PR00202,M007,PART-0037,2024-10-09 17:00:00,2024-10-09 21:08:06,4.14,511,12,2.36,26.3,OP001,86.7,131.41
