event_id,machine_id,machine_type,event_type,description,start_time,duration_hours,cost,labor_hours,parts_cost,root_cause,downtime_impact_hours
ME0026,M003,Press,unplanned,Bearing seized on drive shaft. Production halted for repair.,2024-04-25 00:00:00,12.1,4494.97,13.1,1566.44,Contamination from adjacent process,23.2
ME0027,M004,Welding Robot,unplanned,Software error causing unexpected machine behavior. Firmware update applied.,2024-12-03 00:00:00,23.5,1777.64,34.9,772.43,Material defect in replacement part,46.8
ME0028,M004,Welding Robot,unplanned,Motor tripped on overload protection during high-demand cycle.,2024-05-14 00:00:00,18.9,3423.35,32.6,1343.38,Contamination from adjacent process,30.9
ME0029,M011,Assembly Line,planned,Scheduled preventive maintenance for Assembly Line. Routine inspection and lubrication.,2024-02-07 00:00:00,3.1,798.98,6.1,356.36,N/A,0.0
ME0030,M008,Lathe,unplanned,Hydraulic reservoir level low. Possible internal leak in circuit.,2024-11-12 00:00:00,16.9,3510.16,25.3,1655.4,Design limitation under high load,30.7
ME0031,M001,CNC Mill,emergency,Software update required to address known bug in motion control.,2024-08-20 00:00:00,44.6,3248.57,87.1,1296.91,Design limitation under high load,73.2
ME0032,M015,Press,emergency,Motor running hot. Cooling system inspection required.,2024-06-09 00:00:00,20.2,2038.65,26.6,715.26,Power quality issue from grid,33.3
ME0033,M015,Press,unplanned,Bearing noise detected during startup. Replacement recommended.,2024-05-06 00:00:00,17.4,2113.91,26.5,1190.58,Contamination from adjacent process,31.2
ME0034,M001,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-06-18 00:00:00,4.8,1493.84,8.7,811.21,N/A,0.0
ME0035,M009,Press,unplanned,Electrical short detected in sensor wiring. Intermittent signal loss.,2024-11-16 00:00:00,14.0,4092.33,15.0,1714.83,Power quality issue from grid,17.4
ME0036,M003,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-08-02 00:00:00,3.5,461.46,5.9,183.87,N/A,0.0
ME0037,M010,Welding Robot,unplanned,Tool calibration required after collision incident.,2024-11-21 00:00:00,4.6,668.07,6.0,308.06,Operator error during setup,6.7
ME0038,M008,Lathe,unplanned,Power supply unit failing. Voltage fluctuations recorded.,2024-12-15 00:00:00,13.1,4289.1,20.3,2106.93,Insufficient preventive maintenance,23.4
ME0039,M013,CNC Mill,emergency,Hydraulic fluid contamination detected. Filter bypass triggered.,2024-02-27 00:00:00,24.0,3676.26,25.8,1130.84,Normal wear and tear,47.2
ME0040,M007,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-05-01 00:00:00,4.8,380.94,5.5,142.88,N/A,0.0
ME0041,M014,Lathe,planned,Scheduled preventive maintenance for Lathe. Routine inspection and lubrication.,2024-09-28 00:00:00,2.7,2352.88,4.1,1169.7,N/A,0.0
ME0042,M005,Assembly Line,unplanned,Bearing seized on drive shaft. Production halted for repair.,2024-07-03 00:00:00,11.1,3910.31,14.9,1280.78,Operator error during setup,14.2
ME0043,M014,Lathe,emergency,Electrical ground fault detected. Safety system activated.,2024-12-06 00:00:00,8.7,5902.71,12.8,2077.52,Environmental conditions (humidity/temperature),13.4
ME0044,M007,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-06-28 00:00:00,5.8,2245.03,8.0,1095.03,N/A,0.0
ME0045,M010,Welding Robot,unplanned,Dimensional accuracy degraded. Full recalibration scheduled.,2024-09-14 00:00:00,16.3,4747.51,16.7,2258.55,Environmental conditions (humidity/temperature),31.9
ME0046,M008,Lathe,unplanned,Bearing seized on drive shaft. Production halted for repair.,2024-04-10 00:00:00,13.2,2955.28,21.4,1613.96,Normal wear and tear,22.7
ME0047,M011,Assembly Line,planned,Scheduled preventive maintenance for Assembly Line. Routine inspection and lubrication.,2024-09-09 00:00:00,2.3,476.75,2.5,240.71,N/A,0.0
ME0048,M001,CNC Mill,unplanned,Tool calibration required after collision incident.,2024-04-14 00:00:00,4.5,4165.11,6.7,2115.32,Operator error during setup,6.6
ME0049,M011,Assembly Line,emergency,Electrical fault in control panel. Circuit breaker tripped repeatedly.,2024-12-22 00:00:00,46.7,4448.81,81.8,2411.48,Insufficient preventive maintenance,93.1
ME0050,M004,Welding Robot,planned,Scheduled preventive maintenance for Welding Robot. Routine inspection and lubrication.,2024-07-08 00:00:00,5.1,1016.81,8.0,377.82,N/A,0.0
ME0051,M007,CNC Mill,unplanned,Motor failed to start. Electrical diagnostics indicate winding issue.,2024-03-24 00:00:00,11.6,2904.47,21.1,1150.21,Normal wear and tear,22.1
ME0052,M001,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-09-21 00:00:00,5.8,2156.07,7.7,1261.34,N/A,0.0
ME0053,M004,Welding Robot,unplanned,Dimensional accuracy degraded. Full recalibration scheduled.,2024-02-22 00:00:00,16.0,2991.66,28.8,1606.18,Material defect in replacement part,20.4
ME0054,M010,Welding Robot,emergency,PLC communication timeout with HMI. Network diagnostics performed.,2024-11-26 00:00:00,37.5,4434.93,41.9,1520.73,Insufficient preventive maintenance,67.8
ME0055,M012,Injection Molder,emergency,Software update required to address known bug in motion control.,2024-05-01 00:00:00,10.9,6297.56,12.5,2859.08,Contamination from adjacent process,15.1
ME0056,M008,Lathe,planned,Scheduled preventive maintenance for Lathe. Routine inspection and lubrication.,2024-11-22 00:00:00,3.5,2078.8,6.9,1093.48,N/A,0.0
ME0057,M006,Injection Molder,unplanned,Bearing wear pattern abnormal. Misalignment suspected.,2024-12-11 00:00:00,15.2,2409.0,20.2,1036.68,Environmental conditions (humidity/temperature),21.3
ME0058,M002,Lathe,planned,Scheduled preventive maintenance for Lathe. Routine inspection and lubrication.,2024-11-12 00:00:00,2.2,517.34,4.1,270.71,N/A,0.0
ME0059,M003,Press,unplanned,Software error causing unexpected machine behavior. Firmware update applied.,2024-04-26 00:00:00,13.6,873.01,26.6,265.09,Power quality issue from grid,26.8
ME0060,M013,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-09-08 00:00:00,2.2,2330.45,2.3,1086.35,N/A,0.0
ME0061,M004,Welding Robot,planned,Scheduled preventive maintenance for Welding Robot. Routine inspection and lubrication.,2024-05-22 00:00:00,2.7,737.82,3.9,360.25,N/A,0.0
ME0062,M006,Injection Molder,planned,Scheduled preventive maintenance for Injection Molder. Routine inspection and lubrication.,2024-11-25 00:00:00,4.9,2309.32,9.7,1309.57,N/A,0.0
ME0063,M012,Injection Molder,planned,Scheduled preventive maintenance for Injection Molder. Routine inspection and lubrication.,2024-06-12 00:00:00,3.3,631.78,4.9,256.51,N/A,0.0
ME0064,M002,Lathe,planned,Scheduled preventive maintenance for Lathe. Routine inspection and lubrication.,2024-05-24 00:00:00,3.4,834.89,4.4,353.46,N/A,0.0
ME0065,M013,CNC Mill,unplanned,Dimensional accuracy degraded. Full recalibration scheduled.,2024-09-12 00:00:00,5.5,4732.39,8.7,2724.69,Design limitation under high load,7.0
ME0066,M014,Lathe,emergency,Dimensional accuracy degraded. Full recalibration scheduled.,2024-05-25 00:00:00,24.5,5998.82,48.6,2070.34,Power quality issue from grid,41.0
ME0067,M015,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-04-07 00:00:00,5.3,1530.43,5.5,520.59,N/A,0.0
ME0068,M005,Assembly Line,planned,Scheduled preventive maintenance for Assembly Line. Routine inspection and lubrication.,2024-12-16 00:00:00,5.5,2079.03,9.6,1193.26,N/A,0.0
ME0069,M007,CNC Mill,unplanned,Tool calibration required after collision incident.,2024-01-01 00:00:00,11.6,1584.88,22.6,763.68,Operator error during setup,16.0
ME0070,M001,CNC Mill,unplanned,Hydraulic line burst near actuator. Emergency shutdown initiated.,2024-06-10 00:00:00,6.3,3522.08,9.3,1935.07,Power quality issue from grid,9.1
ME0071,M001,CNC Mill,unplanned,Calibration offset accumulating over time. Adjustment performed.,2024-07-25 00:00:00,15.8,2660.21,28.2,1308.31,Normal wear and tear,29.1
ME0072,M007,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-04-07 00:00:00,2.1,1038.82,3.4,484.55,N/A,0.0
ME0073,M003,Press,emergency,Electrical fault in control panel. Circuit breaker tripped repeatedly.,2024-01-30 00:00:00,26.0,6895.68,42.2,3852.68,Design limitation under high load,51.0
ME0074,M004,Welding Robot,planned,Scheduled preventive maintenance for Welding Robot. Routine inspection and lubrication.,2024-12-05 00:00:00,5.4,1980.06,7.8,1176.18,N/A,0.0
ME0075,M005,Assembly Line,planned,Scheduled preventive maintenance for Assembly Line. Routine inspection and lubrication.,2024-04-20 00:00:00,2.8,1554.21,3.2,525.97,N/A,0.0
ME0076,M015,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-07-02 00:00:00,4.8,655.15,6.8,368.39,N/A,0.0
ME0077,M011,Assembly Line,unplanned,Hydraulic reservoir level low. Possible internal leak in circuit.,2024-04-01 00:00:00,8.5,4198.06,11.4,1299.47,Operator error during setup,13.9
ME0078,M005,Assembly Line,planned,Scheduled preventive maintenance for Assembly Line. Routine inspection and lubrication.,2024-03-18 00:00:00,2.8,1069.61,3.8,424.07,N/A,0.0
ME0079,M010,Welding Robot,unplanned,Motor failed to start. Electrical diagnostics indicate winding issue.,2024-10-18 00:00:00,11.5,511.68,20.9,268.36,Power quality issue from grid,15.6
ME0080,M015,Press,unplanned,PLC communication timeout with HMI. Network diagnostics performed.,2024-12-30 00:00:00,11.4,2581.41,12.1,888.83,Environmental conditions (humidity/temperature),14.9
ME0081,M003,Press,emergency,Software crash during cycle. Memory leak identified.,2024-10-20 00:00:00,9.2,6603.7,14.1,2461.47,Power quality issue from grid,13.0
ME0082,M005,Assembly Line,planned,Scheduled preventive maintenance for Assembly Line. Routine inspection and lubrication.,2024-03-26 00:00:00,4.3,2141.6,5.6,719.42,N/A,0.0
ME0083,M001,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-08-20 00:00:00,3.9,1048.98,5.8,342.05,N/A,0.0
ME0084,M015,Press,unplanned,Motor running hot. Cooling system inspection required.,2024-06-28 00:00:00,11.6,2018.51,19.1,951.19,Material defect in replacement part,17.2
ME0085,M013,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-10-03 00:00:00,5.7,266.95,6.6,99.78,N/A,0.0
ME0086,M004,Welding Robot,emergency,Software error causing unexpected machine behavior. Firmware update applied.,2024-08-16 00:00:00,10.1,873.14,20.0,291.29,Power quality issue from grid,15.3
ME0087,M012,Injection Molder,emergency,Software error causing unexpected machine behavior. Firmware update applied.,2024-07-12 00:00:00,14.8,5263.34,23.1,2481.58,Design limitation under high load,21.1
ME0088,M012,Injection Molder,planned,Scheduled preventive maintenance for Injection Molder. Routine inspection and lubrication.,2024-07-30 00:00:00,5.9,1849.64,8.9,689.4,N/A,0.0
ME0089,M015,Press,unplanned,Software update required to address known bug in motion control.,2024-09-15 00:00:00,7.1,2665.13,7.5,1068.67,Design limitation under high load,9.3
ME0090,M007,CNC Mill,unplanned,Hydraulic reservoir level low. Possible internal leak in circuit.,2024-04-10 00:00:00,20.2,1645.88,20.3,551.39,Contamination from adjacent process,31.9
ME0091,M006,Injection Molder,planned,Scheduled preventive maintenance for Injection Molder. Routine inspection and lubrication.,2024-11-13 00:00:00,3.4,2341.44,5.9,989.39,N/A,0.0
ME0092,M005,Assembly Line,unplanned,Motor bearing noise increasing. Vibration analysis shows wear pattern.,2024-11-15 00:00:00,11.6,4669.02,18.2,2579.86,Environmental conditions (humidity/temperature),15.2
ME0093,M009,Press,unplanned,Electrical connector corrosion causing connection issues.,2024-03-18 00:00:00,7.7,1560.61,11.8,636.18,Insufficient preventive maintenance,14.7
ME0094,M009,Press,unplanned,Software crash during cycle. Memory leak identified.,2024-05-22 00:00:00,10.0,3864.24,15.8,1571.23,Insufficient preventive maintenance,15.2
ME0095,M002,Lathe,unplanned,Bearing temperature elevated. Lubrication schedule accelerated.,2024-02-11 00:00:00,22.8,3324.69,26.0,1789.37,Design limitation under high load,38.7
ME0096,M004,Welding Robot,unplanned,Bearing seized on drive shaft. Production halted for repair.,2024-10-15 00:00:00,7.0,1902.75,7.3,896.13,Insufficient preventive maintenance,12.7
ME0097,M011,Assembly Line,unplanned,Software update required to address known bug in motion control.,2024-07-02 00:00:00,11.6,2556.5,17.4,1181.0,Power quality issue from grid,18.4
ME0098,M004,Welding Robot,unplanned,Hydraulic fluid contamination detected. Filter bypass triggered.,2024-10-08 00:00:00,16.0,3044.79,20.0,1229.21,Power quality issue from grid,21.5
ME0099,M010,Welding Robot,planned,Scheduled preventive maintenance for Welding Robot. Routine inspection and lubrication.,2024-12-11 00:00:00,2.9,1203.09,5.7,416.28,N/A,0.0
ME0100,M013,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-04-13 00:00:00,2.4,826.03,4.5,478.8,N/A,0.0
ME0101,M004,Welding Robot,emergency,Dimensional accuracy degraded. Full recalibration scheduled.,2024-10-13 00:00:00,34.1,5955.92,54.7,2544.6,Contamination from adjacent process,60.9
ME0102,M008,Lathe,unplanned,Bearing failure on main spindle. Metal particles in lubricant.,2024-06-30 00:00:00,8.7,1244.84,16.0,497.49,Design limitation under high load,12.6
ME0103,M003,Press,unplanned,Calibration drift detected on position sensor. Accuracy below spec.,2024-04-26 00:00:00,10.7,4112.84,17.2,1374.84,Insufficient preventive maintenance,16.4
ME0104,M010,Welding Robot,emergency,Hydraulic system pressure unstable. Pump showing signs of wear.,2024-12-29 00:00:00,37.5,3802.47,71.7,1423.9,Material defect in replacement part,62.3
ME0105,M004,Welding Robot,planned,Scheduled preventive maintenance for Welding Robot. Routine inspection and lubrication.,2024-03-03 00:00:00,5.7,1065.39,7.2,389.96,N/A,0.0
ME0106,M002,Lathe,unplanned,Motor running hot. Cooling system inspection required.,2024-03-03 00:00:00,7.0,2365.81,13.9,1066.17,Normal wear and tear,11.7
ME0107,M013,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-11-13 00:00:00,3.7,2049.51,4.5,732.1,N/A,0.0
ME0108,M013,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-09-13 00:00:00,5.3,1571.77,9.5,685.27,N/A,0.0
ME0109,M002,Lathe,unplanned,Motor bearing noise increasing. Vibration analysis shows wear pattern.,2024-09-20 00:00:00,15.2,1198.58,28.3,699.77,Design limitation under high load,22.8
ME0110,M010,Welding Robot,emergency,Hydraulic line burst near actuator. Emergency shutdown initiated.,2024-06-26 00:00:00,9.0,1804.03,16.8,762.01,Normal wear and tear,14.8
ME0111,M003,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-02-23 00:00:00,4.7,294.35,6.3,138.59,N/A,0.0
ME0112,M003,Press,unplanned,Hydraulic fluid contamination detected. Filter bypass triggered.,2024-10-28 00:00:00,23.8,3214.39,43.5,1347.33,Contamination from adjacent process,41.2
ME0113,M005,Assembly Line,planned,Scheduled preventive maintenance for Assembly Line. Routine inspection and lubrication.,2024-11-25 00:00:00,3.3,445.58,3.6,161.46,N/A,0.0
ME0114,M003,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-03-22 00:00:00,5.5,1696.58,10.4,925.03,N/A,0.0
ME0115,M004,Welding Robot,planned,Scheduled preventive maintenance for Welding Robot. Routine inspection and lubrication.,2024-04-28 00:00:00,5.3,1066.88,6.7,519.83,N/A,0.0
ME0116,M006,Injection Molder,unplanned,Motor bearing noise increasing. Vibration analysis shows wear pattern.,2024-12-07 00:00:00,9.9,4768.04,17.6,1593.82,Insufficient preventive maintenance,16.3
ME0117,M011,Assembly Line,emergency,Motor bearing noise increasing. Vibration analysis shows wear pattern.,2024-08-24 00:00:00,28.5,5756.39,40.0,2103.42,Material defect in replacement part,48.9
ME0118,M014,Lathe,emergency,Hydraulic reservoir level low. Possible internal leak in circuit.,2024-11-21 00:00:00,35.6,5361.49,68.2,1797.84,Insufficient preventive maintenance,59.2
ME0119,M006,Injection Molder,planned,Scheduled preventive maintenance for Injection Molder. Routine inspection and lubrication.,2024-03-16 00:00:00,3.6,1369.3,4.4,415.31,N/A,0.0
ME0120,M005,Assembly Line,planned,Scheduled preventive maintenance for Assembly Line. Routine inspection and lubrication.,2024-04-07 00:00:00,3.1,1897.42,4.9,947.78,N/A,0.0
ME0121,M007,CNC Mill,unplanned,Motor bearing noise increasing. Vibration analysis shows wear pattern.,2024-03-04 00:00:00,11.7,2835.13,15.8,1665.89,Insufficient preventive maintenance,15.7
ME0122,M005,Assembly Line,unplanned,Hydraulic reservoir level low. Possible internal leak in circuit.,2024-06-12 00:00:00,20.7,2467.37,35.7,960.14,Insufficient preventive maintenance,34.3
ME0123,M002,Lathe,planned,Scheduled preventive maintenance for Lathe. Routine inspection and lubrication.,2024-11-07 00:00:00,5.8,553.75,7.1,171.31,N/A,0.0
ME0124,M004,Welding Robot,planned,Scheduled preventive maintenance for Welding Robot. Routine inspection and lubrication.,2024-12-30 00:00:00,5.4,2154.42,6.2,1049.2,N/A,0.0
ME0125,M002,Lathe,planned,Scheduled preventive maintenance for Lathe. Routine inspection and lubrication.,2024-08-04 00:00:00,2.3,1888.42,3.9,905.47,N/A,0.0
ME0126,M009,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-06-20 00:00:00,5.3,2048.69,10.4,617.83,N/A,0.0
ME0127,M012,Injection Molder,planned,Scheduled preventive maintenance for Injection Molder. Routine inspection and lubrication.,2024-01-17 00:00:00,2.4,2313.96,4.6,1003.8,N/A,0.0
ME0128,M015,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-05-28 00:00:00,5.8,1956.38,10.3,1011.9,N/A,0.0
ME0129,M006,Injection Molder,emergency,Hydraulic leak found at main cylinder seal. Pressure dropping gradually.,2024-12-30 00:00:00,16.8,7416.76,28.1,2323.3,Environmental conditions (humidity/temperature),28.1
ME0130,M001,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-09-26 00:00:00,4.3,2309.85,4.8,1199.52,N/A,0.0
ME0131,M003,Press,emergency,Hydraulic fluid contamination detected. Filter bypass triggered.,2024-04-12 00:00:00,39.8,5779.19,41.3,2767.54,Power quality issue from grid,55.1
ME0132,M012,Injection Molder,planned,Scheduled preventive maintenance for Injection Molder. Routine inspection and lubrication.,2024-07-01 00:00:00,5.5,1443.1,7.8,680.75,N/A,0.0
ME0133,M008,Lathe,unplanned,Calibration drift detected on position sensor. Accuracy below spec.,2024-04-17 00:00:00,16.5,4486.9,20.4,1378.92,Insufficient preventive maintenance,31.3
ME0134,M014,Lathe,planned,Scheduled preventive maintenance for Lathe. Routine inspection and lubrication.,2024-04-05 00:00:00,2.7,1113.92,4.9,667.66,N/A,0.0
ME0135,M004,Welding Robot,planned,Scheduled preventive maintenance for Welding Robot. Routine inspection and lubrication.,2024-08-23 00:00:00,2.4,334.59,3.8,188.08,N/A,0.0
ME0136,M015,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-12-05 00:00:00,2.4,1006.83,4.1,374.17,N/A,0.0
ME0137,M003,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-05-25 00:00:00,3.2,2168.85,3.9,678.04,N/A,0.0
ME0138,M001,CNC Mill,emergency,Motor overheating detected during operation. Temperature exceeded threshold by 15 degrees.,2024-10-19 00:00:00,35.2,2223.21,62.9,726.6,Normal wear and tear,54.0
ME0139,M008,Lathe,emergency,Bearing wear pattern abnormal. Misalignment suspected.,2024-02-28 00:00:00,14.7,7440.39,20.6,4102.24,Operator error during setup,20.3
ME0140,M003,Press,unplanned,Hydraulic fluid contamination detected. Filter bypass triggered.,2024-09-15 00:00:00,11.7,665.29,21.3,359.41,Operator error during setup,19.9
ME0141,M007,CNC Mill,emergency,Bearing seized on drive shaft. Production halted for repair.,2024-06-26 00:00:00,29.0,2506.58,43.2,1501.19,Operator error during setup,55.6
ME0142,M003,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-11-24 00:00:00,2.9,1458.19,5.5,813.73,N/A,0.0
ME0143,M011,Assembly Line,emergency,Bearing temperature elevated. Lubrication schedule accelerated.,2024-08-13 00:00:00,27.1,1049.54,50.4,569.75,Environmental conditions (humidity/temperature),46.7
ME0144,M005,Assembly Line,unplanned,Hydraulic line burst near actuator. Emergency shutdown initiated.,2024-06-24 00:00:00,4.1,3630.71,6.1,1177.49,Power quality issue from grid,5.6
ME0145,M013,CNC Mill,emergency,Calibration drift detected on position sensor. Accuracy below spec.,2024-12-14 00:00:00,27.8,3993.96,53.0,1882.74,Operator error during setup,48.1
ME0146,M008,Lathe,unplanned,Calibration drift detected on position sensor. Accuracy below spec.,2024-04-01 00:00:00,14.4,4406.72,26.7,2468.59,Design limitation under high load,25.5
ME0147,M011,Assembly Line,planned,Scheduled preventive maintenance for Assembly Line. Routine inspection and lubrication.,2024-06-03 00:00:00,5.7,488.13,10.0,169.66,N/A,0.0
ME0148,M011,Assembly Line,emergency,Motor failed to start. Electrical diagnostics indicate winding issue.,2024-12-28 00:00:00,41.0,1619.87,50.4,927.56,Power quality issue from grid,49.3
ME0149,M002,Lathe,unplanned,Calibration verification failed on quality check.,2024-06-03 00:00:00,7.9,878.44,15.6,430.04,Power quality issue from grid,11.1
ME0150,M012,Injection Molder,planned,Scheduled preventive maintenance for Injection Molder. Routine inspection and lubrication.,2024-03-14 00:00:00,5.3,539.01,7.6,297.55,N/A,0.0
ME0151,M012,Injection Molder,unplanned,Software update required to address known bug in motion control.,2024-08-29 00:00:00,19.8,1281.89,38.5,448.55,Insufficient preventive maintenance,35.9
ME0152,M001,CNC Mill,unplanned,Motor bearing noise increasing. Vibration analysis shows wear pattern.,2024-07-10 00:00:00,4.9,4421.92,8.2,1918.17,Contamination from adjacent process,8.4
ME0153,M004,Welding Robot,unplanned,Calibration offset accumulating over time. Adjustment performed.,2024-02-27 00:00:00,10.5,2698.89,10.5,938.36,Normal wear and tear,16.5
ME0154,M004,Welding Robot,planned,Scheduled preventive maintenance for Welding Robot. Routine inspection and lubrication.,2024-10-11 00:00:00,3.8,618.15,6.4,226.39,N/A,0.0
ME0155,M002,Lathe,unplanned,Electrical connector corrosion causing connection issues.,2024-04-01 00:00:00,21.4,4834.56,37.0,2769.52,Material defect in replacement part,40.3
ME0156,M004,Welding Robot,planned,Scheduled preventive maintenance for Welding Robot. Routine inspection and lubrication.,2024-09-13 00:00:00,3.1,2463.95,4.1,1274.67,N/A,0.0
ME0157,M002,Lathe,planned,Scheduled preventive maintenance for Lathe. Routine inspection and lubrication.,2024-01-12 00:00:00,2.1,1716.25,3.3,757.66,N/A,0.0
ME0158,M011,Assembly Line,emergency,Software error causing unexpected machine behavior. Firmware update applied.,2024-01-27 00:00:00,11.6,1787.19,21.5,944.19,Normal wear and tear,19.8
ME0159,M012,Injection Molder,planned,Scheduled preventive maintenance for Injection Molder. Routine inspection and lubrication.,2024-02-15 00:00:00,5.7,1637.46,8.3,491.84,N/A,0.0
