delivery_id,supplier_id,supplier_name,po_number,expected_date,actual_date,days_late,on_time,material_code,material_category,quantity,unit_cost,total_cost,quality_score
DEL00296,S009,MetalWorks Direct,PO-13018,2023-02-07,2023-02-06,0,True,MAT-700,Lubricants,9487,49.37,468373.19,4.4
DEL00214,S010,ComponentPro Solutions,PO-59958,2023-02-08,2023-02-09,1,False,MAT-451,Electronic Components,6642,42.86,284676.12,4.3
DEL00240,S006,TechMaterials Group,PO-20487,2023-02-10,2023-02-11,1,False,MAT-468,Aluminum Stock,6624,19.2,127180.8,4.1
DEL00179,S004,GlobalComponents Ltd,PO-90744,2023-02-10,2023-02-08,0,True,MAT-701,Electronic Components,3198,42.79,136842.42,3.8
DEL00008,S005,QualityAlloys Inc,PO-44987,2023-02-11,2023-02-12,1,False,MAT-943,Tooling,4802,32.48,155968.96,4.0
DEL00173,S004,GlobalComponents Ltd,PO-15754,2023-02-12,2023-02-12,0,True,MAT-130,Electronic Components,3362,10.29,34594.98,3.7
DEL00097,S001,SteelCorp Industries,PO-96554,2023-02-12,2023-02-25,13,False,MAT-996,Bearings,8616,48.65,419168.4,4.2
DEL00249,S009,MetalWorks Direct,PO-97251,2023-02-12,2023-02-13,1,False,MAT-760,Lubricants,2522,13.44,33895.68,4.4
DEL00075,S003,PrecisionMetal Co,PO-64484,2023-02-13,2023-02-20,7,False,MAT-968,Lubricants,8221,36.99,304094.79,4.1
DEL00293,S002,FastParts Supply,PO-14455,2023-02-14,2023-02-13,0,True,MAT-221,Tooling,4046,20.13,81445.98,4.2
DEL00145,S002,FastParts Supply,PO-40704,2023-02-15,2023-02-14,0,True,MAT-605,Tooling,6047,2.32,14029.04,4.4
DEL00054,S003,PrecisionMetal Co,PO-84600,2023-02-17,2023-02-23,6,False,MAT-232,Lubricants,3563,43.23,154028.49,4.4
DEL00134,S005,QualityAlloys Inc,PO-10071,2023-02-18,2023-02-17,0,True,MAT-161,Tooling,8000,14.03,112240.0,4.0
DEL00164,S008,IndustrialSource LLC,PO-28045,2023-02-18,2023-02-17,0,True,MAT-916,Raw Steel,822,3.49,2868.78,4.0
DEL00121,S009,MetalWorks Direct,PO-84743,2023-02-19,2023-02-17,0,True,MAT-634,Lubricants,3203,37.65,120592.95,4.5
DEL00100,S003,PrecisionMetal Co,PO-95033,2023-02-19,2023-02-19,0,True,MAT-514,Lubricants,3332,44.11,146974.52,3.3
DEL00070,S002,FastParts Supply,PO-49669,2023-02-20,2023-02-21,1,False,MAT-189,Tooling,2149,7.19,15451.31,4.0
DEL00099,S009,MetalWorks Direct,PO-62944,2023-02-23,2023-03-07,12,False,MAT-556,Lubricants,3460,44.44,153762.4,4.6
DEL00083,S010,ComponentPro Solutions,PO-74713,2023-02-25,2023-02-26,1,False,MAT-410,Electronic Components,3945,10.87,42882.15,3.9
DEL00068,S002,FastParts Supply,PO-66858,2023-02-26,2023-02-24,0,True,MAT-647,Tooling,393,0.79,310.47,3.9
DEL00026,S004,GlobalComponents Ltd,PO-52830,2023-02-27,2023-03-08,9,False,MAT-564,Electronic Components,548,38.22,20944.56,4.4
DEL00275,S002,FastParts Supply,PO-59415,2023-02-28,2023-02-28,0,True,MAT-834,Tooling,6352,32.87,208790.24,4.7
DEL00009,S003,PrecisionMetal Co,PO-24884,2023-02-28,2023-02-27,0,True,MAT-253,Lubricants,3244,1.87,6066.28,4.4
DEL00169,S004,GlobalComponents Ltd,PO-90753,2023-02-28,2023-02-28,0,True,MAT-406,Electronic Components,6959,16.77,116702.43,3.6
DEL00294,S001,SteelCorp Industries,PO-59200,2023-03-02,2023-03-13,11,False,MAT-894,Bearings,1568,39.0,61152.0,4.8
DEL00039,S004,GlobalComponents Ltd,PO-83007,2023-03-02,2023-02-28,0,True,MAT-160,Electronic Components,953,16.98,16181.94,3.8
DEL00277,S001,SteelCorp Industries,PO-25218,2023-03-04,2023-03-16,12,False,MAT-686,Bearings,6125,6.81,41711.25,4.1
DEL00246,S001,SteelCorp Industries,PO-26315,2023-03-06,2023-03-04,0,True,MAT-494,Bearings,9366,8.54,79985.64,4.7
DEL00016,S007,ReliableSupply Partners,PO-65426,2023-03-08,2023-03-07,0,True,MAT-323,Tooling,2463,5.79,14260.77,4.1
DEL00181,S010,ComponentPro Solutions,PO-20670,2023-03-08,2023-03-07,0,True,MAT-903,Electronic Components,7811,39.65,309706.15,4.5
DEL00065,S008,IndustrialSource LLC,PO-24933,2023-03-08,2023-03-06,0,True,MAT-858,Raw Steel,7683,9.39,72143.37,3.9
DEL00184,S006,TechMaterials Group,PO-38773,2023-03-09,2023-03-08,0,True,MAT-307,Aluminum Stock,7506,43.23,324484.38,4.0
DEL00261,S006,TechMaterials Group,PO-22693,2023-03-09,2023-03-10,1,False,MAT-316,Aluminum Stock,8657,39.69,343596.33,4.0
DEL00042,S006,TechMaterials Group,PO-76027,2023-03-10,2023-03-09,0,True,MAT-604,Aluminum Stock,5657,43.96,248681.72,3.6
DEL00123,S009,MetalWorks Direct,PO-62664,2023-03-11,2023-03-11,0,True,MAT-703,Lubricants,837,24.83,20782.71,4.9
DEL00001,S009,MetalWorks Direct,PO-45830,2023-03-11,2023-03-11,0,True,MAT-168,Lubricants,9380,40.16,376700.8,4.4
DEL00291,S002,FastParts Supply,PO-59355,2023-03-13,2023-03-12,0,True,MAT-537,Tooling,2856,46.34,132347.04,3.9
DEL00120,S010,ComponentPro Solutions,PO-83537,2023-03-15,2023-03-15,0,True,MAT-760,Electronic Components,2128,32.37,68883.36,3.9
DEL00228,S001,SteelCorp Industries,PO-88625,2023-03-16,2023-03-14,0,True,MAT-432,Bearings,6466,34.06,220231.96,5.0
DEL00224,S010,ComponentPro Solutions,PO-81002,2023-03-20,2023-03-19,0,True,MAT-504,Electronic Components,7110,6.48,46072.8,4.1
DEL00112,S005,QualityAlloys Inc,PO-88852,2023-03-21,2023-03-19,0,True,MAT-972,Tooling,6794,5.96,40492.24,4.1
DEL00137,S004,GlobalComponents Ltd,PO-37636,2023-03-23,2023-03-30,7,False,MAT-725,Electronic Components,8370,47.89,400839.3,3.9
DEL00076,S009,MetalWorks Direct,PO-73897,2023-03-24,2023-03-25,1,False,MAT-509,Lubricants,8064,25.91,208938.24,4.7
DEL00216,S001,SteelCorp Industries,PO-28383,2023-03-27,2023-03-28,1,False,MAT-582,Bearings,4673,42.16,197013.68,3.9
DEL00271,S004,GlobalComponents Ltd,PO-32027,2023-03-27,2023-04-04,8,False,MAT-556,Electronic Components,1995,24.37,48618.15,4.2
DEL00004,S002,FastParts Supply,PO-92292,2023-03-27,2023-03-25,0,True,MAT-820,Tooling,8557,43.2,369662.4,4.5
DEL00190,S005,QualityAlloys Inc,PO-98487,2023-03-28,2023-03-27,0,True,MAT-437,Tooling,4196,15.48,64954.08,4.7
DEL00299,S010,ComponentPro Solutions,PO-61615,2023-04-01,2023-03-30,0,True,MAT-669,Electronic Components,8888,39.28,349120.64,4.4
DEL00101,S002,FastParts Supply,PO-78219,2023-04-01,2023-03-31,0,True,MAT-653,Tooling,4751,11.08,52641.08,4.4
DEL00150,S006,TechMaterials Group,PO-10256,2023-04-04,2023-04-05,1,False,MAT-537,Aluminum Stock,949,42.77,40588.73,3.9
DEL00177,S008,IndustrialSource LLC,PO-66848,2023-04-07,2023-04-17,10,False,MAT-999,Raw Steel,1171,6.37,7459.27,4.8
DEL00109,S007,ReliableSupply Partners,PO-44562,2023-04-07,2023-04-08,1,False,MAT-698,Tooling,8272,32.0,264704.0,5.0
DEL00183,S007,ReliableSupply Partners,PO-72096,2023-04-07,2023-04-08,1,False,MAT-374,Tooling,9622,20.35,195807.7,4.9
DEL00149,S006,TechMaterials Group,PO-35146,2023-04-09,2023-04-14,5,False,MAT-968,Aluminum Stock,478,49.6,23708.8,4.4
DEL00262,S007,ReliableSupply Partners,PO-44843,2023-04-10,2023-04-23,13,False,MAT-597,Tooling,7853,37.97,298178.41,4.5
DEL00094,S008,IndustrialSource LLC,PO-13901,2023-04-12,2023-04-12,0,True,MAT-553,Raw Steel,2485,38.62,95970.7,4.6
DEL00095,S008,IndustrialSource LLC,PO-54342,2023-04-12,2023-04-14,2,False,MAT-422,Raw Steel,6680,49.11,328054.8,3.8
DEL00090,S008,IndustrialSource LLC,PO-30223,2023-04-17,2023-04-15,0,True,MAT-762,Raw Steel,6059,17.06,103366.54,3.8
DEL00104,S008,IndustrialSource LLC,PO-95322,2023-04-17,2023-04-15,0,True,MAT-227,Raw Steel,7452,15.25,113643.0,4.6
DEL00085,S001,SteelCorp Industries,PO-54267,2023-04-19,2023-04-17,0,True,MAT-540,Bearings,1967,31.07,61114.69,3.9
DEL00147,S004,GlobalComponents Ltd,PO-96486,2023-04-20,2023-04-19,0,True,MAT-856,Electronic Components,9368,33.77,316357.36,4.3
DEL00132,S007,ReliableSupply Partners,PO-58929,2023-04-20,2023-04-19,0,True,MAT-653,Tooling,2855,39.21,111944.55,4.4
DEL00189,S005,QualityAlloys Inc,PO-46231,2023-04-20,2023-04-18,0,True,MAT-333,Tooling,1712,6.37,10905.44,4.1
DEL00044,S001,SteelCorp Industries,PO-57263,2023-04-21,2023-04-21,0,True,MAT-540,Bearings,4735,45.19,213974.65,4.0
DEL00129,S009,MetalWorks Direct,PO-25083,2023-04-24,2023-04-25,1,False,MAT-375,Lubricants,1093,16.26,17772.18,4.5
DEL00255,S002,FastParts Supply,PO-64767,2023-04-25,2023-04-23,0,True,MAT-637,Tooling,6929,32.9,227964.1,4.7
DEL00237,S010,ComponentPro Solutions,PO-16829,2023-04-25,2023-04-24,0,True,MAT-749,Electronic Components,2418,46.94,113500.92,4.0
DEL00059,S003,PrecisionMetal Co,PO-72447,2023-04-26,2023-04-27,1,False,MAT-374,Lubricants,9325,30.22,281801.5,3.3
DEL00012,S002,FastParts Supply,PO-21000,2023-04-28,2023-04-29,1,False,MAT-421,Tooling,9956,15.25,151829.0,3.9
DEL00260,S010,ComponentPro Solutions,PO-11246,2023-04-28,2023-04-26,0,True,MAT-162,Electronic Components,4459,37.71,168148.89,3.8
DEL00114,S003,PrecisionMetal Co,PO-28630,2023-04-28,2023-04-27,0,True,MAT-902,Lubricants,9760,21.38,208668.8,4.6
DEL00290,S003,PrecisionMetal Co,PO-37494,2023-04-29,2023-04-28,0,True,MAT-323,Lubricants,3305,36.9,121954.5,3.2
DEL00171,S002,FastParts Supply,PO-59271,2023-04-30,2023-04-30,0,True,MAT-310,Tooling,6658,9.62,64049.96,5.0
DEL00156,S001,SteelCorp Industries,PO-17134,2023-05-04,2023-05-04,0,True,MAT-941,Bearings,5565,26.22,145914.3,4.0
DEL00292,S003,PrecisionMetal Co,PO-25380,2023-05-04,2023-05-02,0,True,MAT-627,Lubricants,5645,29.87,168616.15,4.7
DEL00073,S003,PrecisionMetal Co,PO-31771,2023-05-04,2023-05-02,0,True,MAT-256,Lubricants,7395,48.21,356512.95,3.9
DEL00047,S006,TechMaterials Group,PO-67203,2023-05-06,2023-05-07,1,False,MAT-218,Aluminum Stock,8208,2.52,20684.16,3.9
DEL00061,S006,TechMaterials Group,PO-74922,2023-05-09,2023-05-08,0,True,MAT-639,Aluminum Stock,8696,4.66,40523.36,4.1
DEL00034,S005,QualityAlloys Inc,PO-25533,2023-05-14,2023-05-22,8,False,MAT-329,Tooling,3428,9.93,34040.04,4.8
DEL00105,S004,GlobalComponents Ltd,PO-86230,2023-05-14,2023-05-13,0,True,MAT-679,Electronic Components,8837,42.3,373805.1,3.8
DEL00161,S004,GlobalComponents Ltd,PO-91292,2023-05-14,2023-05-15,1,False,MAT-734,Electronic Components,1759,17.31,30448.29,4.8
DEL00257,S009,MetalWorks Direct,PO-34331,2023-05-16,2023-05-15,0,True,MAT-305,Lubricants,1066,37.62,40102.92,4.8
DEL00074,S004,GlobalComponents Ltd,PO-48644,2023-05-16,2023-05-15,0,True,MAT-683,Electronic Components,6518,3.02,19684.36,3.4
DEL00067,S005,QualityAlloys Inc,PO-54739,2023-05-16,2023-05-16,0,True,MAT-992,Tooling,3166,10.95,34667.7,3.7
DEL00159,S006,TechMaterials Group,PO-18623,2023-05-20,2023-05-21,1,False,MAT-204,Aluminum Stock,1014,28.18,28574.52,3.8
DEL00080,S006,TechMaterials Group,PO-87025,2023-05-22,2023-05-21,0,True,MAT-801,Aluminum Stock,5656,46.13,260911.28,4.7
DEL00088,S009,MetalWorks Direct,PO-24539,2023-05-22,2023-06-05,14,False,MAT-208,Lubricants,1769,41.27,73006.63,3.9
DEL00276,S010,ComponentPro Solutions,PO-43959,2023-05-23,2023-05-22,0,True,MAT-218,Electronic Components,4867,4.84,23556.28,3.9
DEL00165,S010,ComponentPro Solutions,PO-50788,2023-05-23,2023-05-23,0,True,MAT-697,Electronic Components,8966,38.89,348687.74,4.0
DEL00072,S009,MetalWorks Direct,PO-80593,2023-05-23,2023-06-06,14,False,MAT-295,Lubricants,1510,15.4,23254.0,4.4
DEL00006,S009,MetalWorks Direct,PO-92150,2023-05-24,2023-06-05,12,False,MAT-161,Lubricants,8656,10.43,90282.08,4.4
DEL00298,S003,PrecisionMetal Co,PO-23033,2023-05-24,2023-05-23,0,True,MAT-433,Lubricants,1140,35.83,40846.2,4.5
DEL00187,S008,IndustrialSource LLC,PO-63602,2023-05-28,2023-05-29,1,False,MAT-476,Raw Steel,8251,16.19,133583.69,4.1
DEL00133,S005,QualityAlloys Inc,PO-69210,2023-05-30,2023-06-08,9,False,MAT-142,Tooling,116,40.73,4724.68,4.9
DEL00279,S005,QualityAlloys Inc,PO-99037,2023-05-30,2023-05-30,0,True,MAT-915,Tooling,2169,26.23,56892.87,4.4
DEL00025,S010,ComponentPro Solutions,PO-31016,2023-05-30,2023-05-28,0,True,MAT-815,Electronic Components,4375,25.56,111825.0,4.2
DEL00241,S003,PrecisionMetal Co,PO-30431,2023-05-30,2023-05-31,1,False,MAT-939,Lubricants,7997,1.48,11835.56,3.8
DEL00060,S001,SteelCorp Industries,PO-66899,2023-05-30,2023-05-29,0,True,MAT-745,Bearings,7079,5.1,36102.9,4.4
DEL00093,S002,FastParts Supply,PO-66206,2023-05-31,2023-06-03,3,False,MAT-523,Tooling,6806,44.95,305929.7,4.9
DEL00227,S001,SteelCorp Industries,PO-23344,2023-06-05,2023-06-06,1,False,MAT-829,Bearings,8884,39.67,352428.28,4.9
DEL00151,S007,ReliableSupply Partners,PO-74955,2023-06-07,2023-06-08,1,False,MAT-470,Tooling,8574,38.07,326412.18,4.9
DEL00013,S004,GlobalComponents Ltd,PO-96170,2023-06-07,2023-06-18,11,False,MAT-192,Electronic Components,6602,47.19,311548.38,4.5
DEL00265,S004,GlobalComponents Ltd,PO-13365,2023-06-10,2023-06-13,3,False,MAT-716,Electronic Components,2113,43.52,91957.76,3.8
DEL00066,S003,PrecisionMetal Co,PO-49013,2023-06-14,2023-06-15,1,False,MAT-421,Lubricants,9720,36.34,353224.8,4.3
DEL00022,S008,IndustrialSource LLC,PO-49438,2023-06-14,2023-06-19,5,False,MAT-192,Raw Steel,3957,15.22,60225.54,4.8
DEL00199,S005,QualityAlloys Inc,PO-61201,2023-06-15,2023-06-19,4,False,MAT-165,Tooling,8857,19.63,173862.91,4.3
DEL00273,S001,SteelCorp Industries,PO-43767,2023-06-19,2023-06-18,0,True,MAT-781,Bearings,7903,47.6,376182.8,4.6
DEL00160,S010,ComponentPro Solutions,PO-40554,2023-06-20,2023-06-21,1,False,MAT-985,Electronic Components,9923,39.48,391760.04,4.5
DEL00253,S008,IndustrialSource LLC,PO-21648,2023-06-20,2023-06-21,1,False,MAT-211,Raw Steel,9481,38.95,369284.95,4.1
DEL00041,S003,PrecisionMetal Co,PO-97983,2023-06-20,2023-06-21,1,False,MAT-479,Lubricants,2266,48.42,109719.72,4.0
DEL00243,S006,TechMaterials Group,PO-47122,2023-06-21,2023-06-22,1,False,MAT-484,Aluminum Stock,9310,30.5,283955.0,3.5
DEL00278,S009,MetalWorks Direct,PO-50737,2023-06-21,2023-06-19,0,True,MAT-163,Lubricants,9767,27.01,263806.67,4.8
DEL00264,S003,PrecisionMetal Co,PO-53287,2023-06-22,2023-06-22,0,True,MAT-925,Lubricants,1741,0.65,1131.65,4.5
DEL00117,S004,GlobalComponents Ltd,PO-28156,2023-06-22,2023-06-21,0,True,MAT-616,Electronic Components,7651,38.2,292268.2,4.4
DEL00284,S009,MetalWorks Direct,PO-30014,2023-06-23,2023-06-23,0,True,MAT-947,Lubricants,3550,42.48,150804.0,4.9
DEL00245,S008,IndustrialSource LLC,PO-61727,2023-06-24,2023-06-25,1,False,MAT-860,Raw Steel,6213,19.51,121215.63,4.0
DEL00033,S008,IndustrialSource LLC,PO-11850,2023-06-27,2023-06-25,0,True,MAT-835,Raw Steel,8715,22.04,192078.6,4.9
DEL00021,S002,FastParts Supply,PO-25997,2023-06-30,2023-07-11,11,False,MAT-647,Tooling,3972,42.95,170597.4,4.3
DEL00172,S003,PrecisionMetal Co,PO-13934,2023-06-30,2023-06-30,0,True,MAT-668,Lubricants,1987,7.55,15001.85,3.9
DEL00225,S008,IndustrialSource LLC,PO-62709,2023-07-03,2023-07-01,0,True,MAT-769,Raw Steel,5281,1.09,5756.29,3.9
DEL00040,S009,MetalWorks Direct,PO-88411,2023-07-04,2023-07-15,11,False,MAT-826,Lubricants,845,0.77,650.65,4.5
DEL00269,S010,ComponentPro Solutions,PO-96289,2023-07-07,2023-07-08,1,False,MAT-977,Electronic Components,1745,36.85,64303.25,4.2
DEL00287,S009,MetalWorks Direct,PO-19414,2023-07-07,2023-07-14,7,False,MAT-640,Lubricants,4737,14.48,68591.76,4.9
DEL00124,S002,FastParts Supply,PO-13153,2023-07-11,2023-07-12,1,False,MAT-980,Tooling,8749,16.21,141821.29,4.1
DEL00119,S003,PrecisionMetal Co,PO-46356,2023-07-12,2023-07-13,1,False,MAT-761,Lubricants,1550,43.36,67208.0,4.3
DEL00176,S008,IndustrialSource LLC,PO-69795,2023-07-12,2023-07-17,5,False,MAT-345,Raw Steel,6156,40.57,249748.92,4.5
DEL00263,S001,SteelCorp Industries,PO-51317,2023-07-13,2023-07-13,0,True,MAT-936,Bearings,4025,47.08,189497.0,4.6
DEL00235,S005,QualityAlloys Inc,PO-80688,2023-07-16,2023-07-15,0,True,MAT-155,Tooling,4168,40.17,167428.56,4.6
DEL00200,S008,IndustrialSource LLC,PO-93755,2023-07-17,2023-07-18,1,False,MAT-411,Raw Steel,1627,8.99,14626.73,4.5
DEL00207,S007,ReliableSupply Partners,PO-70319,2023-07-17,2023-07-25,8,False,MAT-573,Tooling,9539,2.43,23179.77,3.9
DEL00213,S010,ComponentPro Solutions,PO-43130,2023-07-19,2023-07-18,0,True,MAT-312,Electronic Components,8391,2.71,22739.61,3.8
DEL00268,S003,PrecisionMetal Co,PO-89529,2023-07-19,2023-07-18,0,True,MAT-596,Lubricants,6656,37.09,246871.04,4.4
DEL00139,S009,MetalWorks Direct,PO-88579,2023-07-21,2023-07-22,1,False,MAT-436,Lubricants,360,45.74,16466.4,4.0
DEL00029,S005,QualityAlloys Inc,PO-44167,2023-07-22,2023-07-21,0,True,MAT-277,Tooling,9816,41.43,406676.88,4.7
DEL00043,S006,TechMaterials Group,PO-28585,2023-07-23,2023-07-30,7,False,MAT-366,Aluminum Stock,2014,16.01,32244.14,4.9
DEL00078,S001,SteelCorp Industries,PO-94974,2023-07-24,2023-07-24,0,True,MAT-527,Bearings,7855,6.29,49407.95,4.5
DEL00102,S008,IndustrialSource LLC,PO-13069,2023-07-26,2023-07-25,0,True,MAT-128,Raw Steel,8946,29.83,266859.18,3.9
DEL00166,S009,MetalWorks Direct,PO-58343,2023-07-27,2023-07-27,0,True,MAT-108,Lubricants,8581,29.53,253396.93,4.6
DEL00010,S005,QualityAlloys Inc,PO-65314,2023-07-27,2023-07-28,1,False,MAT-762,Tooling,706,10.5,7413.0,4.0
DEL00058,S008,IndustrialSource LLC,PO-27208,2023-07-27,2023-08-06,10,False,MAT-467,Raw Steel,1674,41.69,69789.06,4.3
DEL00115,S010,ComponentPro Solutions,PO-33996,2023-07-29,2023-07-28,0,True,MAT-938,Electronic Components,8108,0.6,4864.8,4.5
DEL00185,S010,ComponentPro Solutions,PO-84890,2023-07-29,2023-07-30,1,False,MAT-260,Electronic Components,6229,13.1,81599.9,3.9
DEL00103,S004,GlobalComponents Ltd,PO-24475,2023-07-30,2023-08-08,9,False,MAT-849,Electronic Components,1082,42.16,45617.12,3.8
DEL00192,S010,ComponentPro Solutions,PO-62928,2023-08-01,2023-08-01,0,True,MAT-515,Electronic Components,9601,38.01,364934.01,3.8
DEL00106,S002,FastParts Supply,PO-59501,2023-08-01,2023-07-31,0,True,MAT-632,Tooling,4157,5.71,23736.47,4.4
DEL00281,S007,ReliableSupply Partners,PO-99126,2023-08-03,2023-08-11,8,False,MAT-566,Tooling,2515,30.27,76129.05,4.0
DEL00259,S006,TechMaterials Group,PO-46275,2023-08-04,2023-08-02,0,True,MAT-165,Aluminum Stock,5705,1.97,11238.85,3.8
DEL00113,S009,MetalWorks Direct,PO-25432,2023-08-06,2023-08-05,0,True,MAT-480,Lubricants,5095,49.56,252508.2,4.2
DEL00049,S005,QualityAlloys Inc,PO-76681,2023-08-09,2023-08-08,0,True,MAT-942,Tooling,4569,28.38,129668.22,4.5
DEL00202,S009,MetalWorks Direct,PO-96451,2023-08-09,2023-08-09,0,True,MAT-636,Lubricants,1246,23.01,28670.46,4.3
DEL00057,S004,GlobalComponents Ltd,PO-25807,2023-08-09,2023-08-08,0,True,MAT-405,Electronic Components,8142,40.15,326901.3,4.5
DEL00036,S010,ComponentPro Solutions,PO-64831,2023-08-10,2023-08-09,0,True,MAT-284,Electronic Components,6793,39.73,269885.89,3.8
DEL00055,S008,IndustrialSource LLC,PO-19269,2023-08-10,2023-08-08,0,True,MAT-660,Raw Steel,9967,19.38,193160.46,4.2
DEL00211,S008,IndustrialSource LLC,PO-48258,2023-08-14,2023-08-23,9,False,MAT-782,Raw Steel,1193,35.05,41814.65,4.6
DEL00017,S005,QualityAlloys Inc,PO-87264,2023-08-14,2023-08-14,0,True,MAT-157,Tooling,8134,26.91,218885.94,4.6
DEL00035,S005,QualityAlloys Inc,PO-60079,2023-08-18,2023-08-19,1,False,MAT-233,Tooling,7166,42.89,307349.74,4.4
DEL00045,S009,MetalWorks Direct,PO-31624,2023-08-19,2023-08-20,1,False,MAT-423,Lubricants,8149,38.3,312106.7,4.1
DEL00037,S002,FastParts Supply,PO-42547,2023-08-20,2023-08-21,1,False,MAT-478,Tooling,9650,34.37,331670.5,4.3
